gross,budget,senti_actor,senti_director,country,genres,imdb_score,count_actor,count_director,senti_comment,log_budget
375723,4000000,0.132119417,0.110234425,Brazil,Comedy,7.9,284.7456014,198.3301927,0.145327136,15.20180492
594904,1200000,0.225209085,0.148665787,USA,Comedy,6,36,40,0.182956958,13.99783211
58936,1200000,0.119077014,0.110234425,USA,Comedy,6.1,496,198.3301927,0.138694687,13.99783211
24784,1200000,0.079415048,0.110234425,Canada,Documentary,7.4,448,198.3301927,0.138694687,13.99783211
7826,1200000,0.117193156,0.110234425,USA,Comedy,6.2,494,198.3301927,0.138694687,13.99783211
3830,1200000,0.132119417,0.076878044,USA,Comedy,7.2,284.7456014,84,0.138694687,13.99783211
2850263,2600000,0.132119417,0.110234425,USA,Adventure,6.2,284.7456014,198.3301927,0.16295299,14.771022
16101109,3000000,0.136740062,0.110234425,USA,Comedy,6.8,495,198.3301927,0.119819376,14.91412285
6013,695393,0.132119417,0.247567472,UK,Crime,7.7,284.7456014,20,0.075028079,13.45223243
1400000,1100000,0.132119417,0.110234425,USA,Action,5.9,284.7456014,198.3301927,0.091960019,13.91082074
39659,1600000,0.132119417,0.110234425,Canada,Comedy,7,284.7456014,198.3301927,0.19621919,14.28551419
56129,1100000,0.109150216,0.110234425,Canada,Sci-Fi,6.1,120,198.3301927,0.08973397,13.91082074
4105123,1100000,0.202551317,0.001184356,Indonesia,Action,7.6,60,60,0.164836116,13.91082074
117235247,960000,0.163936616,0.110234425,USA,Drama,8.1,497,198.3301927,0.138694687,13.77468856
21378000,1000000,0.227835738,0.096719628,USA,Fantasy,6.8,499,491,0.151152245,13.81551056
31537320,1000000,0.0931852,0.110234425,USA,Horror,5.7,40,198.3301927,0.029977457,13.81551056
17986000,1000000,0.203382305,0.175706581,USA,Horror,6.6,20,240,0.167129025,13.81551056
16067035,1100000,0.103363095,0.154207912,UK,Action,7.3,20,20,0.19808446,13.91082074
18112929,1000000,0.170664871,0.051028842,USA,Horror,5,497,180,0.051220216,13.81551056
14564027,1000000,0.098623321,0.144093532,UK,Fantasy,7,39,180,0.126967293,13.81551056
20773070,5000000,0.132119417,0.110234425,USA,Drama,3.4,284.7456014,198.3301927,0.04763843,15.42494847
10042266,1000000,0.132119417,0.110234425,USA,Drama,5.9,284.7456014,198.3301927,0.096883114,13.81551056
10037390,1000000000,0.132119417,0.110234425,Japan,Action,6,284.7456014,198.3301927,0.147361023,20.72326584
9701559,3500000,0.100438797,0.0594761,USA,Drama,7.4,497,60,0.086883632,15.06827353
9013113,1000000,0.132119417,-0.016442978,USA,Adventure,7.4,284.7456014,40,0.169871462,13.81551056
53245055,1000000,0.132119417,0.110234425,USA,Horror,4.2,284.7456014,198.3301927,0.029925365,13.81551056
9000000,900000,0.132119417,0.215412383,USA,Comedy,6.2,284.7456014,40,0.110097904,13.71015004
7186670,6000000,0.132119417,0.112134767,USA,Adventure,5.4,284.7456014,100,-0.000916009,15.60727003
5997134,1000000,0.217126161,0.110234425,USA,Biography,7.2,39,198.3301927,0.211638312,13.81551056
3386698,1000000,0.170784876,0.1675,USA,Comedy,6.7,117,20,0.204976352,13.81551056
143492840,7500000,0.121110723,0.181576103,USA,Comedy,7.5,79,120,0.113376028,15.83041358
2508841,1000000,0.132119417,0.110234425,USA,Crime,7.2,284.7456014,198.3301927,0.067063739,13.81551056
4946250,1000000,0.233878977,0.110234425,USA,Documentary,7.4,495,198.3301927,0.224877781,13.81551056
1950218,1000000,0.146443035,0.110234425,USA,Comedy,5.6,499,198.3301927,0.122910894,13.81551056
1277257,1000000,0.132119417,0.110234425,UK,Comedy,6.8,284.7456014,198.3301927,0.273381812,13.81551056
45857453,3500000,0.14679798,0.110234425,UK,Comedy,7.2,20,198.3301927,0.228573351,15.06827353
1677838,1000000,0.12688904,0.110234425,USA,Documentary,7.7,59,198.3301927,0.132336181,13.81551056
1744858,1000000,0.071604733,0.11122768,USA,Comedy,7,297,215,0.2215742,13.81551056
80021740,58000000,0.132119417,0,USA,Adventure,6.4,284.7456014,2500,0.160092004,17.87595357
982214,1000000,0.132119417,0.110234425,USA,Drama,7.2,284.7456014,198.3301927,0.138694687,13.81551056
798341,1000000,0.057604263,0.110234425,USA,Crime,7.2,239,198.3301927,0.134817296,13.81551056
610991,1000000,0.134437229,0.056697917,India,Drama,6.2,20,40,0.138694687,13.81551056
582024,1000000,0.138232965,0.132982585,USA,Comedy,6.2,180,200,0.098102185,13.81551056
548712,2500000,0.159023122,0.110234425,USA,Drama,6.9,494,198.3301927,0.065711006,14.73180129
464655,1000000,0.204762001,0.110234425,USA,Comedy,7,497,198.3301927,0.19620838,13.81551056
464126,1000000,0.189587626,0.110234425,USA,Drama,6.7,153,198.3301927,0.096652126,13.81551056
428535,1000000,0.088135558,0.110234425,USA,Comedy,3.6,58,198.3301927,0.222235575,13.81551056
104077,1000000,0.132119417,0.110234425,USA,Comedy,7.4,284.7456014,198.3301927,0.163575554,13.81551056
279282,1000000,0.132119417,0.110234425,USA,Comedy,6.1,284.7456014,198.3301927,0.098226129,13.81551056
43982842,65000000,0.056062886,0.099578232,USA,Drama,6.7,100,380,0.076647533,17.98989783
484221,1000000,0.132119417,0.110234425,UK,Biography,8.2,284.7456014,198.3301927,0.050071408,13.81551056
274661,1000000,0.002568994,0.002568994,USA,Crime,7.7,20,20,0.021522801,13.81551056
144431,1000000,0.132119417,0.110234425,UK,Documentary,7.3,284.7456014,198.3301927,0.138694687,13.81551056
287761,1000000,0.115550595,0.141549962,New Zealand,Adventure,7.6,40,78,0.138694687,13.81551056
100240,1000000,0.132119417,0.110234425,Denmark,Documentary,6.8,284.7456014,198.3301927,0.138694687,13.81551056
96734,1000000,0.132119417,0.110234425,USA,Action,5.6,284.7456014,198.3301927,0.138694687,13.81551056
49000,1500000,0.249348837,0.162234397,India,Thriller,4.8,500,500,0.088273558,14.22097567
100659,900000,0.070047198,0.110234425,USA,Horror,6.4,434,198.3301927,0.052781069,13.71015004
48430,500000,0.230615229,0.110234425,USA,Comedy,6.8,19,198.3301927,0.20014708,13.12236338
21210,1000000,0.200003472,0.110234425,USA,Comedy,6.1,60,198.3301927,0.157624661,13.81551056
12996,1000000,0.247238606,0.100410444,USA,Action,6,40,20,0.138694687,13.81551056
10018,1000000,0.132119417,0.089272851,USA,Crime,6.1,284.7456014,80,0.10929333,13.81551056
62480,1000000,0.132119417,0.110234425,USA,Drama,5.5,284.7456014,198.3301927,0.138694687,13.81551056
6387,1000000,0.053698641,0.110234425,USA,Comedy,6.9,459,198.3301927,0.138694687,13.81551056
721,1000000,0.089252058,0.110234425,Germany,Action,4.1,140,198.3301927,0.138694687,13.81551056
703,1500000,0.105422078,0.110234425,USA,Comedy,5.4,40,198.3301927,0.138694687,14.22097567
2319187,20000000,0.127826203,0.133031185,UK,Crime,7,386,160,0.098091686,16.81124283
9600000,910000,0.135149736,0.089305556,USA,Crime,8.2,473,20,0.178367159,13.72119988
20186,930000,0.132119417,0.110234425,USA,Comedy,5.7,284.7456014,198.3301927,0.138694687,13.74293987
1185783,590000,0.132119417,0.110234425,Romania,Drama,7.9,284.7456014,198.3301927,0.099114756,13.28787782
1007962,950000,0.132119417,0.110234425,USA,Crime,7.1,284.7456014,198.3301927,-0.000434606,13.76421726
381186,900000,0.132119417,0.110234425,USA,Drama,6.4,284.7456014,198.3301927,0.101013435,13.71015004
16097842,900000,0.132119417,0.043680579,USA,Biography,7.5,284.7456014,220,0.090622246,13.71015004
6643,900000,0.022678571,0.110234425,USA,Comedy,6.4,20,198.3301927,0.184050995,13.71015004
442638,850000,0.132119417,0.110234425,USA,Comedy,7.3,284.7456014,198.3301927,0.138694687,13.65299163
42919096,15000000,0.198385337,0,USA,Action,6.5,499,20,0.161259042,16.52356076
819939,850000,0.124437456,0.110234425,USA,Comedy,7.2,218,198.3301927,0.19730531,13.65299163
1243961,850000,0.110646471,0.110234425,USA,Comedy,6,20,198.3301927,0.157310694,13.65299163
15278,825000,0.255940657,0.110234425,USA,Drama,5.6,20,198.3301927,0.104690786,13.62313867
7098492,500000,0.132119417,0.110234425,Iran,Drama,8.4,284.7456014,198.3301927,0.193435262,13.12236338
4771000,800000,0.132119417,0.110234425,USA,Comedy,7.5,284.7456014,198.3301927,0.103299132,13.59236701
1001437,800000,0.149634972,0.120029762,USA,Drama,7.2,37,20,0.147467432,13.59236701
2073984,800000,0.132119417,0.110234425,France,Drama,7.2,284.7456014,198.3301927,0.161259042,13.59236701
