,actor,sentiment,count
2608,Hayden Christensen,0.09783376660060068,336
2609,Ezra Miller,0.09270803477144286,499
2610,Samantha Barks,0.2229477891096815,180
2611,Ellen Burstyn,0.3591314935064934,20
2612,Tom Cruise,0.07900278779568609,499
2613,Naomi Watts,0.0775209214061692,239
2614,Catherine Deneuve,0.1051129426129426,39
2615,Joseph Gordon-Levitt,0.12443745574725261,218
2616,Richard E. Grant,0.17097234906337289,497
2617,Matt Damon,0.09327377987896385,487
2618,Olivia Williams,0.14302579365079365,40
2619,Steve Carell,0.14436739309516367,485
2620,Lynn Cohen,0.10542207792207794,40
2621,Chris Hemsworth,0.1313024939070889,494
2622,Emily Watson,0.1578057769052452,100
2623,Norman Reedus,0.2325546803992019,430
2624,Michael Wong,0.11390575998076,300
2625,Alden Ehrenreich,0.21954757915695416,39
2626,Debi Derryberry,0.27342863625090186,40
2627,Clint Eastwood,0.06589611848420364,487
2628,Ben Browder,0.034240976037851034,39
2629,Milla Jovovich,0.040881448539011565,238
2630,Lucas Grabeel,0.2793333333333333,20
2631,Rex Baker,0.0898482810347217,59
2632,Jennifer Lawrence,0.129381611441058,497
2633,Jim Broadbent,0.08749305555555556,40
2634,Wagner Moura,0.10166666666666666,20
2635,Alfre Woodard,0.21268459059400507,158
2636,Deborah Mailman,0.27620634920634923,60
2637,Esai Morales,0.2885049005681818,100
2638,Rita Moreno,0.1694232127825878,60
2639,Angie Dickinson,0.08222222222222224,19
2640,Sarah Polley,0.2813961038961039,20
2641,David Wayne,0.06746037004618512,319
2642,Leon,0.11115328954579837,499
2643,Michael Fassbender,0.1710079478812608,258
2644,Tom Hardy,0.08990437962038896,496
2645,Robin Wright,0.10533184408184408,39
2646,Charlotte Rampling,0.0949047619047619,20
2647,Steve Buscemi,0.07896390158195717,495
2648,Ray Winstone,0.08719522375772376,78
2649,Michael Biehn,0.11481493506493508,40
2650,Stephen Graham,0.22079447080596248,473
2651,Linnea Quigley,0.13273003472222222,20
2652,Olivia Newton-John,0.13719320271415586,478
2653,Johnny Depp,0.07872807627771616,462
2654,Osama bin Laden,-0.059750786636203285,60
2655,Katharine Ross,0.21623611111111113,20
2656,Ed Wynn,0.07489583333333333,20
2657,Adam Baldwin,0.03546688792534207,491
2658,Jim Broadbent,0.08749305555555556,40
2659,Rita Moreno,0.1694232127825878,60
2660,Bill Murray,0.11756176113536748,492
2661,Julie Benz,0.2786648046136801,239
2662,Omar Epps,0.19803879580396794,276
2663,Ryan Reynolds,0.1367400621654784,495
2664,Joseph Cotten,0.18946875000000002,20
2665,Michael McKean,0.13235497835497836,20
2666,Julia Roberts,0.1303544018646864,493
2667,Corbin Bernsen,0.13961858164983168,20
2668,David Oyelowo,0.17062590187590185,20
2669,Matthew McConaughey,0.17080138499222025,497
2670,Charlotte Rampling,0.0949047619047619,20
2671,John Heard,-0.004350168350168349,20
2672,Janeane Garofalo,0.13896453373015877,40
2673,J.K. Simmons,0.1211107229619888,79
2674,Will Ferrell,0.08942211397129829,477
2675,Ezra Miller,0.09270803477144286,499
2676,Don Cheadle,0.05163066730699763,498
2677,Drake Bell,0.09537722665951308,392
2678,Kirsten Dunst,0.14277004428705378,237
2679,Jim Broadbent,0.08749305555555556,40
2680,Jim Parsons,0.06454309370269823,177
2681,Sarah Michelle Gellar,0.06784206074722378,115
2682,Hayden Christensen,0.09783376660060068,336
2683,Stockard Channing,0.08682403945661525,99
2684,William Holden,0.24687180521926294,59
2685,Mary-Kate Olsen,0.08533681952993476,120
2686,Samantha Morton,0.1979898538961039,40
2687,Aidan Quinn,0.11651992018398268,40
2688,Tim Blake Nelson,0.13767939975864088,140
2689,James Nesbitt,0.10521759423024017,257
2690,Meryl Streep,0.11647301564692406,494
2691,Matthew McConaughey,0.17080138499222025,497
2692,Noam Chomsky,0.04862600035950984,490
2693,Henry Thomas,0.10561344388869838,497
2694,Catherine Bell,0.12498877164502167,40
